つぶやきシロー	shiro_tsubuyaki	ホリプロ所属のつぶやきシローです。
ナチュラリーセブン	Naturally7	7 Man acappella band specializing in VocalPlay.
ナタリー・ダンカン	natduncanmusic	
ナズ	nas	Illmatic XX now available: http://t.co/GQVoyTHAXi
ナイトウィッシュ	nightwishband	#ShowtimeStorytime out now worldwide via @nuclearblasteu @nuclearblastusa. Order at http://t.co/pj22OE7Dvb.
ドロップ・シティ・ヨット・クラブ	dcyclub	Individually known as @KristoRewlz  @THXBeats INSTAGRAM: dcyclub. BOOKING: DCYCbooking@gmail.com
ドラゴネット	Dragonette	please e-mail dragonette@punkdafunk.com directly for press / booking / sync / etc inquiries
ドメニカ	_domenica	Video http://t.co/YC5R69F15k iTUNES: http://t.co/6FokTC0Can
トレイン	Train	New album Bulletproof Picasso out now - download on iTunes http://t.co/iTG4xnnIdb or Amazon http://t.co/vP07K5zvCO
トレイ・ソングス	TreySongz	TRIGGA available now!! http://t.co/k8Q0Tzth2aThe Angel Network http://t.co/HOZxQxFjHJ
トリッキー	Knowlewestboy	The new album ‘Adrian Thaws’ out now. Buy on iTunes: http://t.co/S7XLWKXnjn
トラヴィス・バーカー	travisbarker	http://t.co/lC7uxCKiBH
トム・ヨーク	thomyorke	
トビアス・サメッツ・アバンタジア	_avantasia	The Official Avantasia Twitter page.  New album 'The Mystery Of Time' out on March 30th.  Check http://t.co/ha5SddDUnL for the latest news and updates!
トニー・ベネット	itstonybennett	#1 album CHEEK TO CHEEK available now! http://t.co/uz7IaS6SZ3
トニー・サクストン	tonythaxton	America's hunk. Host of @FelizNavipod. Drummer of The @PrideOfEriePA. Email thaxtonlessons@gmail.com for Skype drum lesson inquiries.
トゥー・ドア・シネマ・クラブ	TDCinemaClub	We come from N.Ireland. We are Alex, @SamTDCC and @KevinSbaird. We currently have 2 albums you should listen to. Tourist History and Beacon
トータリー・イノーマス・エクスティンクト・ダイナソーズ	TEEDinosaurs	Instagram: @TEEDinosaurs
デライラ	delilahmusic	I'm a singer/songwriter from London ... Debut album FTRU #Go #LoveYouSo #ShadesOfGrey #Time #InsideMyLoveEMAIL : delilah.officialhq@gmail.com
デヴィット・ゲッタ	davidguetta	Official David Guetta Twitter Page. http://t.co/RMCqdEM9XC
デッドマウス	deadmau5	teatwaffle
デス・キャブ・フォー・キューティー	dcfc	The Official Death Cab for Cutie Twitter.
デジタリズム	digitalismMusic	Wolves OUT NOW - http://t.co/oYYl39a3Bm
ディスティニー・チャイルド	destinyschild	One of the most successful groups in pop/R&B music history, featuring Beyoncé Knowles, Kelly Rowland and Michelle Williams.
ディスターブド	Disturbed	Disturbed is @DAVIDMDRAIMAN, @DanDoneganGtr, @MikeWengren, and @JohnMoyerBass. Music available on iTunes: http://t.co/NN4LDgI4HP Amazon: http://t.co/FtpCZr14RK.
テリー・バルサモ	TerryBalsamo	Official twitter of Terry Balsamo. (Former Cold guitarist) Evanescence guitarist/songwriter
テニス	tennisinc	If I'm talking about SXSW I'm being sarcastic
テデスキ・トラックス・バンド	DerekAndSusan	The 11-piece band that booms like a soul thunderclap.
テスタメント	testament	#DarkRootsOfThrash is out now worldwide via @nuclearblastusa @nuclearblasteu. Order at http://t.co/2WnNd4Xri7.
テイク・ザット	takethat	The Official Take That Twitter page. Follow Mark on @OfficialMarkO, Gary on @GaryBarlow and Howard on @HowardDonald
ティム・マコード	Tim_McCord	Vibe enthusiast. Evanescence Bass Player. Other rad stuff.
ティム・クリステンセン	timc1974	Musician and Songwriter from Copenhagen Denmark
ティファニー	tiffanytunes	**OFFICIAL**Mom, Singer, Songwriter, 80s Girl, Vintage Clothing Lover: My Vintage Clothing Store = http://t.co/vHiaN9jR76 (Bookings: PebbleEnt@gmail.com)
ティーアイ	TIP	#HustleGang #Columbia #grandhustle#Paperwork instores October 21, 2014http://t.co/boCSwbpoXehttp://t.co/UAgX2qxt9oIG: Troubleman31
チリー・ゴンザレス	chillygonzales	Re-Introduction Etudes out now and @OctaveMinds (my project with @BoysNoize)
チュリサス	turisasofficial	#TURISAS from Finland - metal, electric violins, Scandinavian attitude. New album #Turisas2013 out this Fall.
チディー・バン	chiddybang	Baggage Claim coming SOON!
チェアリフト	Chairlifted	Chairlift Musical Group : @carolineplz and @patrickWhat
チーム・ミー	TeamMeBand	Award winning band from Hedmark, Norway(de dype østerdalske skoger). Tweets by Simen, Simen, Uno, Marius, Bjarne & Elida. Currently working on our second album!
ダリル・マクダニエルズ	theKingDMC	IM THE KING OF Rock and HipHop  For any interviews and press matters ONLY contact tracey@tmapublicity.com/ 609-383-2323
ダイ・マネキン	diemannequin	New single Sucker Punch available now: http://t.co/XhjfZ1qddD. unofficial viral video: http://t.co/dLNHiyIanr
ダイアン・バーチ	dianebirch	I LOVE INCENSE & PHIL COLLINS'Speak A Little Louder' out now! http://t.co/al3nA4jOS2
ダイアナ・クラール	DianaKrall	New album Wallflower available October 13 (Ex North America) / October 21(U.S. & Canada) Pre-order today at Amazon: http://t.co/69naDADf7Q
ダイアナ・キング	dianakingdom	
ダークスター	darkstar	contact: noizybeat@gmail.com
タンク	therealtank	MGMT: sgreener@primarywavemusic.com
タヒチ80	wearetahiti80	originators of edgy soft rockNew album, Ballroom, will be out digitally, on CD and on vinyl via Human Sounds and  Minty Fresh (US) on October 21st.
タイニー・テンパー	TinieTempah	Demonstration: OUT NOW! http://t.co/sBthG66aYp :-)
ターラ・プリーヤ	tarapriya	sass'n'soul ♥ gangsta Bardot
ソイルワーク	Soilwork	#TheLivingInfinite, out now worldwide via Nuclear Blast Records. ORDER at http://t.co/AWQV5qeGvU. Bjorn: @speedstrid
ゼム・クルックド・ヴァルチャーズ	crookedvultures	Dave Grohl, Josh Homme, John Paul Jones
スローターハウス	slaughterhouse	BOOKINGS: JoshuaDick@TheAgencyGroup.Com
スリップノット	slipknot	'.5: The Gray Chapter' - New Album Available October 21. pre-order on iTunes here: http://t.co/lOJP2CHWMf
スピリチュアル・ベガーズ	Spiritual_B	Heavy Rock band feat. @Michael_Amott - Guitar, Per Wiberg - Keys, Ludwig Witt - Drums, Apollo - Vocals, Sharlee D'Angelo - Bass. New album #earthblues out now!
ストリート・スウィーパー・ソーシャル・クラブ	streetsweep	
ストーン・サワー	stonesour	The Official Twitter Account of Stone Sour.
スティーブ・アオキ	steveaoki	chief of @dimmakrecssubscribe http://t.co/azIq2YMWEClike http://t.co/pJS2JQMMFuupdate http://t.co/r490VQfZ2EBuy http://t.co/wOZ59M8fxp
スクリレックス	skrillex	your friend
スウェディッシュ・ハウス・マフィア	swedishousemfia	SHM is • Sebastian Ingrosso @sebingrosso • Axwell @Axwell • Steve Angello @SteveAngello
スウェード	suedehq	Suede are: Brett Anderson, @neilcodling, Simon Gilbert, Richard Oakes, and @matosman. Follow them here…
ジョン・メイヤー	johnmayer	Executive Producer, The Maybe Pile
ジョシュ・グローバン	joshgroban	Professional Scribbler, Warbler, and Ivory Tickler
ジョシュア・ケイン	joshuacain	
ジョーディン・テイラー	JordynTaylorNow	Human.
ジョーダン・スパークス	jordinsparks	Singer/Songwriter/Actress/Host/NFL Fanatic
ジョー・サトリアーニ	chickenfootjoe	I am the guitarist  Joe Satriani. I am also a member of the band Chickenfoot. Check out my music: http://t.co/mGFlJmfgxw, iTunes, etc...
ジョー・ゴッダード	joehotchip	do music innit.
ジュリアン・カサブランカス	Casablancas_J	very professional
ジャンゴ・ジャンゴ	thedjangos	Booze, Broads & Barbershop Chords
ジャミリオン	jamillions	Independent R&B Artist - http://t.co/CQHrKswRaF http://t.co/edUQjr85Ma
ジャマイカ	jamaicatwit	The Rock Band From Paris, Not The Country / Antoine + Flo / INSTGRM @ithinkilikejamaica / https://t.co/uay8jV0XCZ / https://t.co/nzZsJfZBqt
ジャネル・モネイ	JaNelleMonae	tackle me lord. just tackle me.
ジャック・サヴィッジ	jackbsavidge	out of Friendly Fires
ジャズミン・サリヴァン	jsullivanmusic	
ジャスティン・ピエール	jcpmcs	Asthma enthusiast/that guy in Motion City Soundtrack. https://t.co/kgJBjRejlD http://t.co/J2iHzSxWT3
ジャザノヴァ	real_jazzanova	
ジミー・イート・ワールド	jimmyeatworld	10 Year Anniversary Futures Tour. Get tickets now at http://t.co/Qd886DsTBY
ジェシィ・ジョンソン	jessemackj	I'm that dude in Motion City Soundtrack. Probably on tour or playing video games.
ジェシー・ハリス	JesseHarrisNYC	New album Borne Away now available
ジェイムス・ブレイク	jamesblake	1-800-DINOSAUR // Official James Blake Twitter HQ // https://t.co/5xaEkwcodo // OVERGROWN out now
ジェイミー・フォリース	JamieFollese	For bookings contact idontactuallydobookings@thisisajoke.com
ジェイミー・フォックス	iamjamiefoxx	Actor/Singer/Comedian
ジェームス・マイケル	james_a_michael	Producer/Songwriter/Lead Singer of Sixx:AM
ジェームス・イハ	james_iha	Official Twitter of James Iha:Musician, producer, former member of the Smashing Pumpkins; member of A Perfect Circle & Tinted Windows.
ジ・アゴニスト	theagonist	THE AGONIST: Official Page of Canadian Metal Musicians THE AGONIST! http://t.co/YB1CzCP1NO http://t.co/BZIKMIzCK1
シンフォニア	SYMFONIAMUSIC	Official Page of the new Melodic Metal band with Timo Tolkki, Andre Matos, Mikko Harkin, Uli Kusch and Jari Kainulainen.
ショーン・ポール	duttypaul	Dancehall yute always a represent. Atlantic records and ting..Coppershot and Jigzag for life...For management contact @brandnewmachine
ショーン・キングストン	seankingston	Stand for everything Fall For Nothing!!!  FOR BOOKINGS: jenmcdaniels@tmo.blackberry.net
シカゴ	chicagotheband	Saturday In The Park, Beginnings, 25 or 6 to 4, Just You 'n' Me, You're The Inspiration, Hard To Say I'm Sorry, Hard Habit To Break, Call On Me..Ya, that band!
シェリル・コール	cherylcole	
シェイ	shayofficial	SHAY, SINGER SONG WRITER. JESUS IS MY FATHER.  BRINGING LIFE TO THOSE EMOTIONS WE SHOULD BE FEELING.™  BOOKINGS & ENQUIRIES - Shaybookings@hotmail.co.uk
シェール・ロイド	CherLloyd	New album #SorryImLate out NOW on iTunes: http://t.co/20UyGLPuMh
シェール	cher	Stand & B Counted or Sit & B Nothing.Don't Litter,Chew Gum,Walk Past Homeless PPL w/out Smile.DOESNT MATTER in 5 yrs IT DOESNT MATTERTHERE'S ONLY LOVE&FEAR
シール	seal	Strength Through Vulnerability.
シーム・パーク	themeparkband	We are: @marcuscus @mileshaughton @oscarmanthorpe
シーアンドヒム	sheandhim	
ザ・レイン・オブ・カインド	thereignofkindo	makers of music influenced by space, in n out, Pat Metheny, Snarky Puppy, women, Radiohead, bosti, Jamiroquai, Michael Jackson, boricua power, food and booties
ザ・ラスマス	rasmusofficial	We're back with a new album: The Rasmus
ザ・ペインズ・オブ・ビーイング・ピュア・アット・ハート	thepainsofbeing	ORDER NEW ALBUM 'DAYS OF ABANDON' FROM ITUNES: http://t.co/UnERUCAByK
ザ・フレイ	thefray	Just a couple of kids who were up to no good.
ザ・フレーミング・リップス	theflaminglips	We will always love you.
狩野恵里	kano_eri	こんにちは。テレビ東京アナウンサーの狩野恵里の公式アカウントです。ツイッターを　今更ながら始めてみました。宜しくお願いします。
BIGBANG	YG_GlobalVIP	YG ENTERTAINMENTBIGBANG OFFICIAL V.I.P&V.I.P JAPAN&GLOBAL V.I.P
2AM	follow2AM	2AM Official Twitter
Teen Top	teen_top	　　　　　　Emotional Teen Pop Band It's TEEN TOP!!!　　　　　　　TEEN TOP OFFICIAL YouTube http://t.co/nuhrbM0JMX
ZE:A	ZEA_9	ZE:A Official Twitter.
BOYFRIEND (音楽グループ)	g_boyfriend	BOYFRIEND OFFICIAL TWITTER !!  - STARSHIP YouTube Channel : http://t.co/xDWlYW5ocs- Official Korea Fan Page : http://t.co/CoqXtHNXb5
大国男児	theboss0304	2010.03.04 Debut. DGNA(대국남아) Official Twitter. 미카, 가람, 현민, 인준, Jay. with Master..
キム・ヒョンテ (バスカー・バスカー)	kht9001	buskerbusker bass, pigrabbit studio
ブラッド (バスカー・バスカー)	Busker_Brad	버스커버스커       Instagram: goodandbrad
イム・ユンテク (ウララセッション)	TAQ1115	http://t.co/7gR6eSU2 꼭 들러보기~!!!
パク・クァンソン (ウララセッション)	razesoul	울랄라세션 박광선 팬 트위터
サイモン・ディー (シュプリーム・チーム)	babospmc	contact: aomgbooking@gmail.cominstagram: longlivesmdc http://t.co/12Cp8XlwzAweibo: longlivesmdclove/fuck you very much
サンチュ (マイティマウス)	SANGCHUKANGCHU	I jus wanna make u feel better! No matter what they say Life is GOOD! 당신의 기분을 UP시켜줄 감성근육인의 필굿 튀터! Rap Artist!
ショリJ (マイティマウス)	soddong01	mightymouth!!!!
ヨンジェ (4men)	yjblu2s	Love thy brother
キム・ウォンジュ (4men)	4menwonjoo	4men
シン・ヨンジェ (4men)	yongjaeshin	
シン・ミンチョル (T-max)	tmaxminchul	Leader of TMAX ,Captain of SoundbirdS
チュ・チャニャン (T-max)	joochanyang	Music Producer
F.CUZ	fcuz0108	F.CUZ
イナチ (DMTN)	dalinati	
ダリ (DMTN)	iam2dari	BRID GEEZY
ジス (DMTN)	JEESWAG	JEESWAG JEEGY
サイモン (DMTN)	SouLoSimoN	
セゲ (SM☆SH)	no1_WorlD	
ジェリー (SM☆SH)	Jerrymingu	JERRY
ハンバン (SM☆SH)	Oneshot_SMASH	
ヒーロー (SM☆SH)	Smash_hero	SM☆SH HERO Kim Min Soo
ジコ (Block.B)	ZICO92	엠씨 작곡가 학생 세븐시즌스 블락비 벅와일즈
テイル (Block.B)	BB_taeil	안녕하세용?
ビボム (Block.B)	BlockB2011	Block.B , ALL EYES ON ME
ジェヒョ (Block.B)	blockbhyo	이상한 오빠중 한명
JB (JJ Project)	jbjyp	
JR (JJ Project)	jrjyp	got7_ pepi_ jr
テリョン&amp;ソリョン (Tasty)	tastytwins0809	
NU’EST	NUESTNEWS	뉴이스트 공식 트위터 (NU'EST Official Twitter)
BTOB	OFFICIALBTOB	BTOB ♡ MELODY멜로디는 비투비꺼 ♡
Led apple	steledapple	Ledapple Official twitter
ハンビョル (Led apple)	jasononestar	Led apple Main Vocal (led-apple.jp)         http://t.co/bhVRRj1EkW                                  http://t.co/KgPdZWkQPU
ヨンジュン (Led apple)	windledyj	follow our Led apple twitter @steledapple and Led apple @jasononestar @khs93power @ledbassky http://t.co/6A0B6bm9z0
グァンヨン (Led apple)	ledbassky	follow our Led apple twitter @steledapple and Led apple @jasononestar @windledyj @khs93power @dlrbals321http://t.co/q7gl2xOHYu
ヒョソク (Led apple)	khs93power	follow our Led apple twitter @steledapple and Led apple @jasononestar @windledyj @ledbassky @dlrbals321http://t.co/QxnLlGgp
マイネーム	MYNAME_2011	은 마이네임 정류장 .. 잠시 쉬었다가 가세요 사랑을 드려요^^마이걸.. 사랑한다 평생가쟈 믿고 따라와줘!
